ARID,PHASE,DATETIME,STA,STA_LAT,STA_LON
297,pn,2020-06-01 00:10:46.050001+00:00,BMO,44.8525,-117.306
299,pg,2020-06-01 00:10:48.500001+00:00,BMO,44.8525,-117.306
301,sn,2020-06-01 00:11:06.550001+00:00,BMO,44.8525,-117.306
302,lg,2020-06-01 00:11:09.400001+00:00,BMO,44.8525,-117.306
298,pn,2020-06-01 00:16:46.250001+00:00,BMO,44.8525,-117.306
300,pg,2020-06-01 00:16:48.900001+00:00,BMO,44.8525,-117.306
303,lg,2020-06-01 00:17:14.400001+00:00,BMO,44.8525,-117.306
361,pn,2020-06-01 00:54:29.400001+00:00,BMO,44.8525,-117.306
362,pn,2020-06-01 00:56:19.400001+00:00,BMO,44.8525,-117.306
364,pg,2020-06-01 00:56:33.050001+00:00,BMO,44.8525,-117.306
365,sn,2020-06-01 00:57:38.600001+00:00,BMO,44.8525,-117.306
366,lg,2020-06-01 00:57:50.450001+00:00,BMO,44.8525,-117.306
363,pn,2020-06-01 01:05:55.200001+00:00,BMO,44.8525,-117.306
115,pn,2020-06-03 00:41:45.650000+00:00,BMO,44.8525,-117.306
116,pg,2020-06-03 00:41:48.700000+00:00,BMO,44.8525,-117.306
117,sn,2020-06-03 00:42:02.400000+00:00,BMO,44.8525,-117.306
118,lg,2020-06-03 00:42:10.800000+00:00,BMO,44.8525,-117.306
304,pn,2020-06-01 00:10:44.200000+00:00,BOZ,45.597,-111.6297
308,sn,2020-06-01 00:11:42.850000+00:00,BOZ,45.597,-111.6297
305,pn,2020-06-01 00:16:51.650000+00:00,BOZ,45.597,-111.6297
309,sn,2020-06-01 00:17:33.400000+00:00,BOZ,45.597,-111.6297
313,lg,2020-06-01 00:17:37.350000+00:00,BOZ,45.597,-111.6297
310,sn,2020-06-01 00:29:19.700000+00:00,BOZ,45.597,-111.6297
367,pn,2020-06-01 00:39:34.350000+00:00,BOZ,45.597,-111.6297
371,sn,2020-06-01 00:44:49.150000+00:00,BOZ,45.597,-111.6297
374,lg,2020-06-01 00:45:31.150000+00:00,BOZ,45.597,-111.6297
368,pn,2020-06-01 00:46:28+00:00,BOZ,45.597,-111.6297
372,sn,2020-06-01 00:47:49.500000+00:00,BOZ,45.597,-111.6297
315,lg,2020-06-01 00:48:36.250000+00:00,BOZ,45.597,-111.6297
369,pn,2020-06-01 00:55:22.600000+00:00,BOZ,45.597,-111.6297
373,sn,2020-06-01 00:56:51.550000+00:00,BOZ,45.597,-111.6297
376,lg,2020-06-01 00:57:38.050000+00:00,BOZ,45.597,-111.6297
377,lg,2020-06-01 00:59:16.350000+00:00,BOZ,45.597,-111.6297
4,pn,2020-06-03 00:42:02+00:00,BOZ,45.597,-111.6297
119,pn,2020-06-03 00:42:02.550000+00:00,BOZ,45.597,-111.6297
5,pg,2020-06-03 00:42:09.900000+00:00,BOZ,45.597,-111.6297
120,pg,2020-06-03 00:42:10.450000+00:00,BOZ,45.597,-111.6297
121,sn,2020-06-03 00:42:37.700000+00:00,BOZ,45.597,-111.6297
6,sn,2020-06-03 00:42:38.050000+00:00,BOZ,45.597,-111.6297
7,lg,2020-06-03 00:42:43.850000+00:00,BOZ,45.597,-111.6297
321,sn,2020-06-01 00:09:29.050000+00:00,DUG,40.195,-112.8133
325,lg,2020-06-01 00:16:34.700000+00:00,DUG,40.195,-112.8133
378,pn,2020-06-01 00:25:59+00:00,DUG,40.195,-112.8133
379,pn,2020-06-01 00:28:22.250000+00:00,DUG,40.195,-112.8133
387,sn,2020-06-01 00:28:26.750000+00:00,DUG,40.195,-112.8133
