,ARID,PHASE,TIME,STA,ST_LAT,ST_LON,EVID,LAT,LON,DEPTH,ETIME
3,238,sn,1590970266.55,BMO,44.8525,-117.306,1,33.9611930847,50.6486262083,17.6095932722,1590970252.98
4,239,lg,1590970269.4,BMO,44.8525,-117.306,1,33.9611930847,50.6486262083,17.6095932722,1590970252.98
19,245,sn,1590970302.85,BOZ,45.597,-111.6297,1,33.9611930847,50.6486262083,17.6095932722,1590970252.98
41,258,sn,1590970169.05,DUG,40.195,-112.8133,2,33.9583950043,50.6360009909,17.675858736,1590970155.46
18,241,pn,1590970244.2,BOZ,45.597,-111.6297,2,33.9583950043,50.6360009909,17.675858736,1590970155.46
1,234,pn,1590970246.05,BMO,44.8525,-117.306,2,33.9583950043,50.6360009909,17.675858736,1590970155.46
2,236,pg,1590970248.5,BMO,44.8525,-117.306,2,33.9583950043,50.6360009909,17.675858736,1590970155.46
44,283,pn,1590971302.25,DUG,40.195,-112.8133,3,34.1327621937,49.9337249994,21.0977911949,1590971281.49
45,291,sn,1590971306.75,DUG,40.195,-112.8133,3,34.1327621937,49.9337249994,21.0977911949,1590971281.49
23,247,sn,1590971359.7,BOZ,45.597,-111.6297,3,34.1327621937,49.9337249994,21.0977911949,1590971281.49
48,285,pn,1590972469.2,DUG,40.195,-112.8133,5,34.10046947,50.6485432386,15.6908631325,1590972457.71
49,289,pg,1590972482.7,DUG,40.195,-112.8133,5,34.10046947,50.6485432386,15.6908631325,1590972457.71
29,252,lg,1590972516.25,BOZ,45.597,-111.6297,5,34.10046947,50.6485432386,15.6908631325,1590972457.71
52,286,pn,1590972815.75,DUG,40.195,-112.8133,6,33.814288497,51.3126652837,15.9245863557,1590972808.2
8,265,pn,1590972869.4,BMO,44.8525,-117.306,6,33.814288497,51.3126652837,15.9245863557,1590972808.2
30,273,pn,1590972922.6,BOZ,45.597,-111.6297,6,33.814288497,51.3126652837,15.9245863557,1590972808.2
53,287,pn,1590972939.7,DUG,40.195,-112.8133,6,33.814288497,51.3126652837,15.9245863557,1590972808.2
54,290,pg,1590972949.25,DUG,40.195,-112.8133,6,33.814288497,51.3126652837,15.9245863557,1590972808.2
9,266,pn,1590972979.4,BMO,44.8525,-117.306,7,33.6006762981,50.7243913412,15.4808178544,1590972968.58
10,268,pg,1590972993.05,BMO,44.8525,-117.306,7,33.6006762981,50.7243913412,15.4808178544,1590972968.58
55,295,lg,1590973001.35,DUG,40.195,-112.8133,7,33.6006762981,50.7243913412,15.4808178544,1590972968.58
161,78,pn,1591143005.3,TPNV,36.9488,-116.2495,9,33.7940818071,51.1315926313,14.7892862558,1591142995.06
162,87,pg,1591143010.05,TPNV,36.9488,-116.2495,9,33.7940818071,51.1315926313,14.7892862558,1591142995.06
64,11,pn,1591143019.4,HLID,43.5625,-114.4138,9,33.7940818071,51.1315926313,14.7892862558,1591142995.06
163,93,sn,1591143018.05,TPNV,36.9488,-116.2495,10,33.7429546118,51.0149199963,15.4257968068,1591143005.25
65,21,pg,1591143030.3,HLID,43.5625,-114.4138,10,33.7429546118,51.0149199963,15.4257968068,1591143005.25
66,24,sn,1591143066.2,HLID,43.5625,-114.4138,10,33.7429546118,51.0149199963,15.4257968068,1591143005.25
68,12,pn,1591143290.3,HLID,43.5625,-114.4138,11,33.558986187,52.2652279139,15.9453123808,1591143283.74
70,25,sn,1591143334.05,HLID,43.5625,-114.4138,11,33.558986187,52.2652279139,15.9453123808,1591143283.74
165,79,pn,1591143335.2,TPNV,36.9488,-116.2495,11,33.558986187,52.2652279139,15.9453123808,1591143283.74
71,32,lg,1591143345.4,HLID,43.5625,-114.4138,12,33.6484056711,50.8733702898,16.4959877729,1591143328.67
166,94,sn,1591143396.15,TPNV,36.9488,-116.2495,12,33.6484056711,50.8733702898,16.4959877729,1591143328.67
204,108,pn,1591143407.65,WVOR,42.4339,-118.637,12,33.6484056711,50.8733702898,16.4959877729,1591143328.67
205,111,sn,1591143525.2,WVOR,42.4339,-118.637,13,33.7628383636,51.3383564949,15.5751854181,1591143511.49
72,33,lg,1591143569.45,HLID,43.5625,-114.4138,13,33.7628383636,51.3383564949,15.5751854181,1591143511.49
148,70,sn,1591143583.26,SRU,39.1108,-110.5238,13,33.7628383636,51.3383564949,15.5751854181,1591143511.49
168,95,sn,1591143602.6,TPNV,36.9488,-116.2495,14,33.7052620649,50.982226491,16.7058497667,1591143586.95
169,100,lg,1591143648.0,TPNV,36.9488,-116.2495,14,33.7052620649,50.982226491,16.7058497667,1591143586.95
126,57,lg,1591143659.92,PFO,33.6117,-116.4594,14,33.7052620649,50.982226491,16.7058497667,1591143586.95
149,183,pn,1591143868.51,SRU,39.1108,-110.5238,17,33.7082543373,51.5312454104,14.1228765249,1591143857.95
170,195,pn,1591143868.75,TPNV,36.9488,-116.2495,17,33.7082543373,51.5312454104,14.1228765249,1591143857.95
152,192,lg,1591143883.66,SRU,39.1108,-110.5238,17,33.7082543373,51.5312454104,14.1228765249,1591143857.95
172,218,lg,1591143895.3,TPNV,36.9488,-116.2495,18,33.0197999477,51.7510527968,12.6180738211,1591143886.59
202,227,sn,1591143917.85,WUAZ,35.5169,-111.3739,18,33.0197999477,51.7510527968,12.6180738211,1591143886.59
174,196,pn,1591143986.45,TPNV,36.9488,-116.2495,18,33.0197999477,51.7510527968,12.6180738211,1591143886.59
75,144,sn,1591143991.05,HLID,43.5625,-114.4138,18,33.0197999477,51.7510527968,12.6180738211,1591143886.59
57,125,sn,1591144178.6,DUG,40.195,-112.8133,19,33.9546259642,50.6236730814,17.5219804049,1591144167.6
77,129,pn,1591144211.0,HLID,43.5625,-114.4138,19,33.9546259642,50.6236730814,17.5219804049,1591144167.6
78,151,lg,1591144228.85,HLID,43.5625,-114.4138,19,33.9546259642,50.6236730814,17.5219804049,1591144167.6
80,131,pn,1591144442.0,HLID,43.5625,-114.4138,20,33.5242944956,50.3596497774,15.7785192132,1591144432.38
179,219,lg,1591144449.35,TPNV,36.9488,-116.2495,20,33.5242944956,50.3596497774,15.7785192132,1591144432.38
156,190,sn,1591144455.91,SRU,39.1108,-110.5238,20,33.5242944956,50.3596497774,15.7785192132,1591144432.38
157,191,sn,1591144608.51,SRU,39.1108,-110.5238,23,33.052271843,52.5765975118,11.5745618939,1591144601.29
131,176,pn,1591144625.62,PFO,33.6117,-116.4594,23,33.052271843,52.5765975118,11.5745618939,1591144601.29
82,132,pn,1591144675.15,HLID,43.5625,-114.4138,23,33.052271843,52.5765975118,11.5745618939,1591144601.29
180,199,pn,1591144678.5,TPNV,36.9488,-116.2495,23,33.052271843,52.5765975118,11.5745618939,1591144601.29
181,209,pg,1591144681.5,TPNV,36.9488,-116.2495,24,33.0615823269,52.5601781607,11.6052657366,1591144674.23
133,54,sn,1591144698.92,PFO,33.6117,-116.4594,24,33.0615823269,52.5601781607,11.6052657366,1591144674.23
182,220,lg,1591144704.25,TPNV,36.9488,-116.2495,24,33.0615823269,52.5601781607,11.6052657366,1591144674.23
135,55,sn,1591144771.77,PFO,33.6117,-116.4594,26,33.214466095,51.9172393084,14.369609952,1591144765.27
158,185,pn,1591144817.06,SRU,39.1108,-110.5238,26,33.214466095,51.9172393084,14.369609952,1591144765.27
